GENE	GENE_ENTREZ	ONCOGENE	TSG	DRIVER	CANONICAL_DRIVER	ONCOGENE_EVIDENCES	TSG_EVIDENCES
ANKRD30BL	554226	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD36	375248	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD36C	400986	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD50	57182	FALSE	FALSE	TRUE	FALSE	0	0
ANLN	54443	FALSE	FALSE	TRUE	FALSE	0	0
ANO4	121601	FALSE	FALSE	TRUE	FALSE	0	0
ANPEP	290	FALSE	FALSE	TRUE	FALSE	0	0
ANXA2	302	FALSE	FALSE	TRUE	FALSE	0	0
ANXA8L1	728113	FALSE	FALSE	TRUE	FALSE	0	0
AOX1	316	FALSE	FALSE	TRUE	FALSE	0	0
AP1B1	162	FALSE	FALSE	TRUE	FALSE	0	0
AP1S1	1174	FALSE	FALSE	TRUE	FALSE	0	0
AP2A1	160	FALSE	FALSE	TRUE	FALSE	0	0
AP3D1	8943	FALSE	FALSE	TRUE	FALSE	0	0
APC	324	FALSE	TRUE	TRUE	TRUE	0	3
API5	8539	FALSE	FALSE	TRUE	FALSE	0	0
APLNR	187	FALSE	FALSE	TRUE	FALSE	0	0
APMAP	57136	FALSE	FALSE	TRUE	FALSE	0	0
APOB	338	FALSE	FALSE	TRUE	FALSE	0	0
APOBEC2	10930	FALSE	FALSE	TRUE	FALSE	0	0
APOBEC3B	9582	FALSE	FALSE	TRUE	TRUE	1	1
APOBR	55911	FALSE	FALSE	TRUE	FALSE	0	0
APOL2	23780	FALSE	FALSE	TRUE	FALSE	0	0
AQP12A	375318	FALSE	FALSE	TRUE	FALSE	0	0
AQP7	364	FALSE	FALSE	TRUE	FALSE	0	0
AR	367	TRUE	FALSE	TRUE	TRUE	3	0
ARAF	369	TRUE	FALSE	TRUE	TRUE	2	0
AREG	374	FALSE	FALSE	TRUE	FALSE	0	0
ARHGAP26	23092	FALSE	TRUE	TRUE	TRUE	0	1
ARHGAP28	79822	FALSE	FALSE	TRUE	FALSE	0	0
ARHGAP32	9743	FALSE	FALSE	TRUE	FALSE	0	0
ARHGAP35	2909	FALSE	FALSE	TRUE	FALSE	0	0
ARHGAP4	393	FALSE	FALSE	TRUE	FALSE	0	0
ARHGAP5	394	TRUE	FALSE	TRUE	TRUE	1	0
ARHGEF10	9639	FALSE	TRUE	TRUE	TRUE	0	1
ARHGEF10L	55160	FALSE	TRUE	TRUE	TRUE	0	1
ARHGEF11	9826	FALSE	FALSE	TRUE	FALSE	0	0
ARHGEF12	23365	FALSE	TRUE	TRUE	TRUE	0	1
ARHGEF18	23370	FALSE	FALSE	TRUE	FALSE	0	0
ARHGEF25	115557	FALSE	FALSE	TRUE	FALSE	0	0
ARHGEF3	50650	FALSE	FALSE	TRUE	FALSE	0	0
ARHGEF6	9459	FALSE	FALSE	TRUE	FALSE	0	0
ARID1A	8289	FALSE	TRUE	TRUE	TRUE	0	3
ARID1B	57492	FALSE	TRUE	TRUE	TRUE	0	2
ARID2	196528	FALSE	TRUE	TRUE	TRUE	0	3
ARID3B	10620	FALSE	FALSE	TRUE	FALSE	0	0
ARID5B	84159	FALSE	FALSE	TRUE	FALSE	0	0
ARIH1	25820	FALSE	FALSE	TRUE	FALSE	0	0
ARMCX3	51566	FALSE	FALSE	TRUE	FALSE	0	0
ARMH3	79591	FALSE	FALSE	TRUE	FALSE	0	0
ARNT	405	FALSE	FALSE	TRUE	TRUE	1	1
ARNT2	9915	FALSE	FALSE	TRUE	FALSE	0	0
ARNTL	406	FALSE	FALSE	TRUE	FALSE	0	0
ARPC1B	10095	FALSE	FALSE	TRUE	FALSE	0	0
ARRDC5	645432	FALSE	FALSE	TRUE	FALSE	0	0
ARSD	414	FALSE	FALSE	TRUE	FALSE	0	0
ASAP2	8853	FALSE	FALSE	TRUE	FALSE	0	0
ASB15	142685	FALSE	FALSE	TRUE	FALSE	0	0
ASB9	140462	FALSE	FALSE	TRUE	FALSE	0	0
ASCC2	84164	FALSE	FALSE	TRUE	FALSE	0	0
ASCC3	10973	FALSE	FALSE	TRUE	FALSE	0	0
ASH1L	55870	FALSE	FALSE	TRUE	FALSE	0	0
ASL	435	FALSE	FALSE	TRUE	FALSE	0	0
ASPHD1	253982	FALSE	FALSE	TRUE	FALSE	0	0
ASPM	259266	FALSE	FALSE	TRUE	FALSE	0	0
ASPSCR1	79058	FALSE	FALSE	TRUE	FALSE	0	0
ASTN1	460	FALSE	FALSE	TRUE	FALSE	0	0
ASTN2	23245	FALSE	FALSE	TRUE	FALSE	0	0
ASXL1	171023	FALSE	TRUE	TRUE	TRUE	0	2
ASXL2	55252	FALSE	TRUE	TRUE	TRUE	0	1
ASXL3	80816	FALSE	FALSE	TRUE	FALSE	0	0
ASZ1	136991	FALSE	FALSE	TRUE	FALSE	0	0
ATAD2	29028	FALSE	FALSE	TRUE	FALSE	0	0
ATAD3B	83858	FALSE	FALSE	TRUE	FALSE	0	0
ATF1	466	TRUE	FALSE	TRUE	TRUE	1	0
ATF7IP	55729	FALSE	FALSE	TRUE	FALSE	0	0
ATG13	9776	FALSE	FALSE	TRUE	FALSE	0	0
ATG14	22863	FALSE	FALSE	TRUE	FALSE	0	0
ATG2A	23130	FALSE	FALSE	TRUE	FALSE	0	0
ATG3	64422	FALSE	FALSE	TRUE	FALSE	0	0
ATG4B	23192	FALSE	FALSE	TRUE	FALSE	0	0
ATG7	10533	FALSE	FALSE	TRUE	FALSE	0	0
ATM	472	FALSE	TRUE	TRUE	TRUE	0	3
ATP10A	57194	FALSE	FALSE	TRUE	FALSE	0	0
ATP10B	23120	FALSE	FALSE	TRUE	FALSE	0	0
ATP10D	57205	FALSE	FALSE	TRUE	FALSE	0	0
ATP13A4	84239	FALSE	FALSE	TRUE	FALSE	0	0
ATP1A1	476	FALSE	FALSE	TRUE	TRUE	1	1
ATP2A2	488	FALSE	FALSE	TRUE	FALSE	0	0
ATP2B3	492	FALSE	TRUE	TRUE	TRUE	0	1
ATP2C2	9914	FALSE	FALSE	TRUE	FALSE	0	0
ATP4A	495	FALSE	FALSE	TRUE	FALSE	0	0
ATP5F1B	506	FALSE	FALSE	TRUE	FALSE	0	0
