GENE	CNA	GENIE_CNT	GENIE_FREQ	SAMPLES
NPRL3	AMP	4	0.000125960448419196	31756
PSMD13	DEL	4	0.000125960448419196	31756
RPA1	AMP	4	0.000125960448419196	31756
SERPINA1	AMP	4	0.000125960448419196	31756
SF1	AMP	4	0.000125960448419196	31756
SF1	DEL	4	0.000125960448419196	31756
SLX1A	AMP	4	0.000125960448419196	31756
SLX1B	AMP	4	0.000125960448419196	31756
TAL1	AMP	4	0.000125960448419196	31756
TAL2	AMP	4	0.000125960448419196	31756
TDG	AMP	4	0.000125960448419196	31756
TLR4	DEL	4	0.000125960448419196	31756
XPA	AMP	4	0.000125960448419196	31756
XRCC3	AMP	4	0.000125960448419196	31756
XRCC3	DEL	4	0.000125960448419196	31756
MYO18A	AMP	3	0.000125161667153406	23969
MCL1	DEL	17	0.000123368989390267	137798
MLH3	AMP	4	0.000123205815314483	32466
TP53BP1	AMP	13	0.000121489650016354	107005
ALB	DEL	9	0.000119602918311207	75249
DNMT3B	DEL	9	0.000118484972156032	75959
MYC	DEL	16	0.000116111990014369	137798
ASXL1	DEL	16	0.000115344411202826	138715
PBRM1	AMP	16	0.000115344411202826	138715
RAD50	AMP	15	0.000112815035987996	132961
MECOM	DEL	6	0.000109876023220466	54607
RHOH	AMP	6	0.000109876023220466	54607
RHOH	DEL	6	0.000109876023220466	54607
SMC3	AMP	6	0.000109876023220466	54607
STAG1	AMP	6	0.000109876023220466	54607
SETD2	AMP	15	0.000108625596535568	138089
PIK3CB	DEL	9	0.000108184779603563	83191
EIF4E	AMP	8	0.000106313705165517	75249
KBTBD4	DEL	8	0.000106313705165517	75249
NUF2	DEL	8	0.000106313705165517	75249
QKI	AMP	4	0.000105390736154292	37954
STAT6	DEL	6	0.000104116054695634	57628
NT5C2	AMP	6	0.000103986135181976	57700
FANCF	DEL	6	0.000102722136620442	58410
ARID1A	AMP	14	0.000102699530516432	136320
GNA13	DEL	3	0.000101095197978096	29675
LRP1B	AMP	3	0.000101095197978096	29675
RHOA	AMP	13	9.7773031189597e-05	132961
BARD1	AMP	13	9.55502962059182e-05	136054
TET2	AMP	13	9.55502962059182e-05	136054
COL7A1	DEL	3	9.44703363143973e-05	31756
DDB2	DEL	3	9.44703363143973e-05	31756
ELANE	AMP	3	9.44703363143973e-05	31756
FAH	DEL	3	9.44703363143973e-05	31756
GPC3	DEL	3	9.44703363143973e-05	31756
HFE	DEL	3	9.44703363143973e-05	31756
INSIG1	DEL	3	9.44703363143973e-05	31756
JAZF1	DEL	3	9.44703363143973e-05	31756
KCNIP1	DEL	3	9.44703363143973e-05	31756
KCNQ1	AMP	3	9.44703363143973e-05	31756
LINC00894	DEL	3	9.44703363143973e-05	31756
NR0B1	AMP	3	9.44703363143973e-05	31756
PML	DEL	3	9.44703363143973e-05	31756
PRPF8	AMP	3	9.44703363143973e-05	31756
PTK2B	AMP	3	9.44703363143973e-05	31756
PTPN14	DEL	3	9.44703363143973e-05	31756
RHOT1	DEL	3	9.44703363143973e-05	31756
RPL26	DEL	3	9.44703363143973e-05	31756
SQSTM1	AMP	3	9.44703363143973e-05	31756
UIMC1	DEL	3	9.44703363143973e-05	31756
XRCC1	DEL	3	9.44703363143973e-05	31756
XRCC5	DEL	3	9.44703363143973e-05	31756
FOXF1	AMP	7	9.30244920198275e-05	75249
H3C14	DEL	7	9.30244920198275e-05	75249
SPRED1	AMP	7	9.30244920198275e-05	75249
ETV4	DEL	5	9.15633526837219e-05	54607
FANCI	DEL	5	9.15633526837219e-05	54607
IKZF3	DEL	5	9.15633526837219e-05	54607
ATP6AP1	DEL	2	8.75235219465231e-05	22851
ATXN2	AMP	2	8.75235219465231e-05	22851
CRBN	AMP	2	8.75235219465231e-05	22851
DTX1	AMP	2	8.75235219465231e-05	22851
EGR2	DEL	2	8.75235219465231e-05	22851
EP400	AMP	2	8.75235219465231e-05	22851
EXOSC6	AMP	2	8.75235219465231e-05	22851
IRF1	AMP	2	8.75235219465231e-05	22851
ITPKB	AMP	2	8.75235219465231e-05	22851
MGAM	AMP	2	8.75235219465231e-05	22851
PTPN1	AMP	2	8.75235219465231e-05	22851
ROBO1	AMP	2	8.75235219465231e-05	22851
SAMHD1	AMP	2	8.75235219465231e-05	22851
SETD6	AMP	2	8.75235219465231e-05	22851
SOCS3	AMP	2	8.75235219465231e-05	22851
SOCS3	DEL	2	8.75235219465231e-05	22851
TET3	AMP	2	8.75235219465231e-05	22851
TNFRSF1B	AMP	2	8.75235219465231e-05	22851
TNFRSF1B	DEL	2	8.75235219465231e-05	22851
ZMYM3	DEL	2	8.75235219465231e-05	22851
RASA1	AMP	9	8.35538225873834e-05	107715
HLA-C	DEL	8	8.15494393476045e-05	98100
SETDB1	DEL	8	7.98921456034354e-05	100135
H3C13	DEL	6	7.97352788741379e-05	75249
BRIP1	DEL	11	7.92992827019428e-05	138715
H2AC17	DEL	2	7.92204705695952e-05	25246
H2BC17	DEL	2	7.92204705695952e-05	25246
SMARCA1	DEL	2	7.92204705695952e-05	25246
MGA	AMP	10	7.70083785115821e-05	129856
CD58	AMP	4	7.32506821469775e-05	54607
SMC1A	DEL	4	7.32506821469775e-05	54607
RICTOR	DEL	10	7.25699937589805e-05	137798
PRKCI	DEL	8	7.02808598863207e-05	113829
TERC	DEL	4	6.93240901213172e-05	57700
PPM1D	DEL	9	6.93075406604239e-05	129856
AGO1	DEL	5	6.64460657284482e-05	75249
FAS	AMP	4	6.51137048070193e-05	61431
